Input, Output
0.000198933, 0.0384145
0.150755, 29.0446
0.301034, 7.72039
0.450258, 29.267
0.598413, 14.3277
0.745066, 30.4992
0.889833, 20.1313
1.0323, 32.3752
1.17223, 25.3323
1.30918, 34.6957
1.44301, 30.0662
1.57321, 37.2939
1.69943, 34.349
1.82142, 40.0313
1.93863, 38.238
2.05094, 42.7685
2.15819, 41.8473
2.25991, 45.4397
2.35598, 45.1102
2.44612, 48.0088
2.53022, 48.0639
2.60822, 50.4542
2.67921, 50.5959
2.74359, 52.6211
2.80093, 52.8584
2.85125, 54.5036
2.89442, 54.7996
2.9303, 56.0914
2.95929, 56.4718
2.98027, 57.2797
2.99374, 57.6542
2.99968, 58.2387
2.99809, 58.4763
2.98897, 58.841
2.97234, 58.9274
2.94814, 59.0621
2.9166, 59.0115
2.87772, 58.935
2.83162, 58.7116
2.77841, 58.4433
2.71822, 58.0441
2.65107, 57.5588
2.57732, 57.02
2.49713, 56.3559
2.41068, 55.6356
2.31809, 54.7874
2.21972, 53.9178
2.11584, 52.9201
2.00659, 51.8658
1.89234, 50.7369
1.77327, 49.5147
1.64976, 48.2558
1.52205, 46.892
1.39058, 45.5199
1.25561, 44.031
1.11734, 42.5112
0.976419, 40.9725
0.833073, 39.3383
0.687593, 37.6892
0.540398, 35.986
0.391875, 34.2645
0.242359, 32.4915
0.092213, 30.708
-0.0582021, 28.8858
-0.20917, 26.9327
-0.358855, 25.3297
-0.507661, 23.2759
-0.655274, 21.5849
-0.801129, 19.6187
-0.944983, 17.8736
-1.08651, 15.9481
-1.22531, 14.2099
-1.36099, 12.3532
-1.49322, 10.6366
-1.62321, 8.55328
-1.74763, 7.3895
-1.86759, 5.26314
-1.98287, 4.01798
-2.09318, 2.10296
-2.19832, 0.832206
-2.2981, -0.904531
-2.39188, -2.0734
-2.47963, -3.64758
-2.56113, -4.76135
-2.63617, -6.14297
-2.70472, -7.19522
-2.76638, -8.35746
-2.82107, -9.29569
-2.86868, -10.2877
-2.90905, -11.0756
-2.94211, -11.8905
-2.96781, -12.5314
-2.98606, -13.1589
-2.99679, -13.6282
-2.99998, -14.0674
-2.99562, -14.3672
-2.98374, -14.617
-2.96437, -14.7396
-2.93755, -14.7992
-2.90335, -14.7398
-2.86177, -14.5953
-2.81306, -14.3763
-2.75716, -14.0156
-2.69442, -13.6467
-2.62489, -13.0994
-2.54869, -12.5246
-2.46606, -11.8213
-2.3772, -11.0627
-2.28253, -10.2359
-2.18207, -9.27414
-2.07613, -8.2895
-1.96483, -7.15138
-1.84871, -6.05342
-1.72797, -4.77381
-1.60273, -3.48274
-1.47367, -2.14933
-1.34086, -0.689853
-1.20459, 0.780949
-1.06538, 2.31123
-0.923543, 3.89256
-0.779312, 5.54127
-0.633056, 7.21355
-0.485276, 8.91494
-0.33631, 10.6615
-0.186479, 12.4362
-0.0361128, 14.2455
0.114247, 16.036
0.264375, 17.9018
0.413786, 19.7078
0.562139, 21.5853
0.709231, 23.441
0.854455, 25.2706
0.997488, 27.1182
1.13823, 28.9805
1.27607, 30.7569
1.4105, 32.5389
1.54139, 34.3084
1.66852, 36.054
1.79134, 37.7201
1.90973, 39.4145
2.0233, 40.9968
2.13174, 42.5833
2.23502, 44.1184
2.33255, 45.5402
2.42418, 46.9676
2.50966, 48.2762
2.58886, 49.5783
2.66169, 50.7838
2.72785, 51.921
2.78699, 52.9478
2.83914, 53.9554
2.88416, 54.8336
2.92196, 55.676
2.95235, 56.3768
2.97534, 57.0544
2.99084, 57.5863
2.99882, 58.0805
2.99927, 58.4399
2.99217, 58.746
2.97752, 58.9213
2.95542, 59.0484
2.92588, 59.0393
2.88899, 58.9752
2.84481, 58.783
2.79353, 58.5393
2.73513, 58.1446
2.66983, 57.7207
2.59777, 57.1519
2.51933, 56.5764
2.43441, 55.7926
2.3435, 55.0792
2.24654, 54.096
2.14384, 53.2029
2.03599, 52.1449
1.92297, 51.0396
1.80526, 49.869
1.68295, 48.5883
1.55642, 47.2905
1.42597, 45.8791
1.29187, 44.4444
1.15454, 42.9332
1.01432, 41.3893
0.871278, 39.7234
0.726342, 38.1812
0.579536, 36.3958
0.430507, 34.6071
0.281093, 33.0241
0.131072, 31.1118
-0.0193059, 29.4119
-0.169622, 27.5006
-0.31956, 25.7289
-0.468846, 23.7967
-0.616778, 22.0488
-0.763136, 20.1151
-0.907593, 18.3376
-1.04976, 16.4455
-1.18931, 14.6678
-1.32579, 12.8425
-1.45908, 11.0554
-1.58863, 9.32416
